SAMPLE	POP
HGDP01039	America
HGDP01040	America
HGDP01041	America
HGDP01042	America
HGDP01043	America
HGDP01044	America
HGDP01045	America
HGDP01046	America
HGDP01047	America
HGDP01048	America
HGDP01049	America
HGDP01050	America
HGDP01051	America
HGDP01052	America
HGDP01053	America
HGDP01054	America
HGDP01055	America
HGDP01056	America
HGDP01057	America
HGDP01058	America
HGDP01059	America
HGDP01060	America
HGDP01061	America
HGDP00830	America
HGDP00832	America
HGDP00833	America
HGDP00834	America
HGDP00835	America
HGDP00837	America
HGDP00838	America
HGDP00839	America
HGDP00840	America
HGDP00841	America
HGDP00842	America
HGDP00843	America
HGDP00844	America
HGDP00845	America
HGDP00846	America
HGDP00847	America
HGDP00848	America
HGDP00849	America
HGDP00850	America
HGDP00851	America
HGDP00852	America
HGDP00052	Central_South_Asia
HGDP00054	Central_South_Asia
HGDP00056	Central_South_Asia
HGDP00057	Central_South_Asia
HGDP00058	Central_South_Asia
HGDP00060	Central_South_Asia
HGDP00062	Central_South_Asia
HGDP00064	Central_South_Asia
HGDP00066	Central_South_Asia
HGDP00068	Central_South_Asia
HGDP00070	Central_South_Asia
HGDP00072	Central_South_Asia
HGDP00074	Central_South_Asia
HGDP00076	Central_South_Asia
HGDP00078	Central_South_Asia
HGDP00080	Central_South_Asia
HGDP00082	Central_South_Asia
HGDP00084	Central_South_Asia
HGDP00086	Central_South_Asia
HGDP00088	Central_South_Asia
HGDP00090	Central_South_Asia
HGDP00092	Central_South_Asia
HGDP00094	Central_South_Asia
HGDP00096	Central_South_Asia
HGDP00098	Central_South_Asia
HGDP00001	Central_South_Asia
HGDP00003	Central_South_Asia
HGDP00005	Central_South_Asia
HGDP00007	Central_South_Asia
HGDP00009	Central_South_Asia
HGDP00011	Central_South_Asia
HGDP00013	Central_South_Asia
HGDP00015	Central_South_Asia
HGDP00017	Central_South_Asia
HGDP00019	Central_South_Asia
HGDP00021	Central_South_Asia
HGDP00023	Central_South_Asia
HGDP00025	Central_South_Asia
HGDP00027	Central_South_Asia
HGDP00029	Central_South_Asia
HGDP00031	Central_South_Asia
HGDP00033	Central_South_Asia
HGDP00035	Central_South_Asia
HGDP00037	Central_South_Asia
HGDP00039	Central_South_Asia
HGDP00041	Central_South_Asia
HGDP00043	Central_South_Asia
HGDP00045	Central_South_Asia
HGDP00047	Central_South_Asia
HGDP00049	Central_South_Asia
HGDP00336	Central_South_Asia
HGDP00338	Central_South_Asia
HGDP00341	Central_South_Asia
HGDP00346	Central_South_Asia
HGDP00351	Central_South_Asia
HGDP00356	Central_South_Asia
HGDP00359	Central_South_Asia
HGDP00364	Central_South_Asia
HGDP00371	Central_South_Asia
HGDP00372	Central_South_Asia
HGDP00376	Central_South_Asia
HGDP00382	Central_South_Asia
HGDP00388	Central_South_Asia
HGDP00392	Central_South_Asia
HGDP00397	Central_South_Asia
HGDP00402	Central_South_Asia
HGDP00407	Central_South_Asia
HGDP00412	Central_South_Asia
HGDP00417	Central_South_Asia
HGDP00423	Central_South_Asia
HGDP00428	Central_South_Asia
HGDP00433	Central_South_Asia
HGDP00438	Central_South_Asia
HGDP00444	Central_South_Asia
HGDP00445	Central_South_Asia
HGDP00099	Central_South_Asia
HGDP00100	Central_South_Asia
HGDP00102	Central_South_Asia
HGDP00103	Central_South_Asia
HGDP00104	Central_South_Asia
HGDP00105	Central_South_Asia
HGDP00106	Central_South_Asia
HGDP00108	Central_South_Asia
HGDP00109	Central_South_Asia
HGDP00110	Central_South_Asia
HGDP00111	Central_South_Asia
HGDP00112	Central_South_Asia
HGDP00113	Central_South_Asia
HGDP00115	Central_South_Asia
HGDP00116	Central_South_Asia
HGDP00118	Central_South_Asia
HGDP00119	Central_South_Asia
HGDP00120	Central_South_Asia
HGDP00121	Central_South_Asia
HGDP00122	Central_South_Asia
HGDP00124	Central_South_Asia
HGDP00125	Central_South_Asia
HGDP00127	Central_South_Asia
HGDP00128	Central_South_Asia
HGDP00129	Central_South_Asia
HGDP00267	Central_South_Asia
HGDP00274	Central_South_Asia
HGDP00277	Central_South_Asia
HGDP00279	Central_South_Asia
HGDP00281	Central_South_Asia
HGDP00285	Central_South_Asia
HGDP00286	Central_South_Asia
HGDP00288	Central_South_Asia
HGDP00290	Central_South_Asia
HGDP00292	Central_South_Asia
HGDP00298	Central_South_Asia
HGDP00302	Central_South_Asia
HGDP00304	Central_South_Asia
HGDP00307	Central_South_Asia
HGDP00309	Central_South_Asia
HGDP00311	Central_South_Asia
HGDP00313	Central_South_Asia
HGDP00315	Central_South_Asia
HGDP00319	Central_South_Asia
HGDP00321	Central_South_Asia
HGDP00323	Central_South_Asia
HGDP00326	Central_South_Asia
HGDP00328	Central_South_Asia
HGDP00330	Central_South_Asia
HGDP00333	Central_South_Asia
HGDP00130	Central_South_Asia
HGDP00131	Central_South_Asia
HGDP00133	Central_South_Asia
HGDP00134	Central_South_Asia
HGDP00135	Central_South_Asia
HGDP00136	Central_South_Asia
HGDP00137	Central_South_Asia
HGDP00139	Central_South_Asia
HGDP00140	Central_South_Asia
HGDP00141	Central_South_Asia
HGDP00143	Central_South_Asia
HGDP00144	Central_South_Asia
HGDP00145	Central_South_Asia
HGDP00146	Central_South_Asia
HGDP00148	Central_South_Asia
HGDP00149	Central_South_Asia
HGDP00150	Central_South_Asia
HGDP00151	Central_South_Asia
HGDP00153	Central_South_Asia
HGDP00154	Central_South_Asia
HGDP00155	Central_South_Asia
HGDP00157	Central_South_Asia
HGDP00158	Central_South_Asia
HGDP00160	Central_South_Asia
HGDP00161	Central_South_Asia
HGDP00213	Central_South_Asia
HGDP00214	Central_South_Asia
HGDP00216	Central_South_Asia
HGDP00218	Central_South_Asia
HGDP00220	Central_South_Asia
HGDP00222	Central_South_Asia
HGDP00224	Central_South_Asia
HGDP00226	Central_South_Asia
HGDP00228	Central_South_Asia
HGDP00230	Central_South_Asia
HGDP00232	Central_South_Asia
HGDP00234	Central_South_Asia
HGDP00237	Central_South_Asia
HGDP00239	Central_South_Asia
HGDP00241	Central_South_Asia
HGDP00243	Central_South_Asia
HGDP00244	Central_South_Asia
HGDP00247	Central_South_Asia
HGDP00248	Central_South_Asia
HGDP00251	Central_South_Asia
HGDP00254	Central_South_Asia
HGDP00258	Central_South_Asia
HGDP00259	Central_South_Asia
HGDP00262	Central_South_Asia
HGDP00264	Central_South_Asia
HGDP00163	Central_South_Asia
HGDP00165	Central_South_Asia
HGDP00167	Central_South_Asia
HGDP00169	Central_South_Asia
HGDP00171	Central_South_Asia
HGDP00173	Central_South_Asia
HGDP00175	Central_South_Asia
HGDP00177	Central_South_Asia
HGDP00179	Central_South_Asia
HGDP00181	Central_South_Asia
HGDP00183	Central_South_Asia
HGDP00185	Central_South_Asia
HGDP00187	Central_South_Asia
HGDP00189	Central_South_Asia
HGDP00191	Central_South_Asia
HGDP00192	Central_South_Asia
HGDP00195	Central_South_Asia
HGDP00197	Central_South_Asia
HGDP00199	Central_South_Asia
HGDP00201	Central_South_Asia
HGDP00203	Central_South_Asia
HGDP00205	Central_South_Asia
HGDP00206	Central_South_Asia
HGDP00208	Central_South_Asia
HGDP00210	Central_South_Asia
HGDP01297	Central_South_Asia
HGDP01298	Central_South_Asia
HGDP01299	Central_South_Asia
HGDP01300	Central_South_Asia
HGDP01301	Central_South_Asia
HGDP01302	Central_South_Asia
HGDP01303	Central_South_Asia
HGDP01304	Central_South_Asia
HGDP01305	Central_South_Asia
HGDP01306	Central_South_Asia
HGDP00711	Est_Asia
HGDP00712	Est_Asia
HGDP00713	Est_Asia
HGDP00714	Est_Asia
HGDP00715	Est_Asia
HGDP00716	Est_Asia
HGDP00717	Est_Asia
HGDP00718	Est_Asia
HGDP00719	Est_Asia
HGDP00720	Est_Asia
HGDP00721	Est_Asia
HGDP01307	Est_Asia
HGDP01308	Est_Asia
HGDP01309	Est_Asia
HGDP01310	Est_Asia
HGDP01311	Est_Asia
HGDP01312	Est_Asia
HGDP01313	Est_Asia
HGDP01314	Est_Asia
HGDP01315	Est_Asia
HGDP01316	Est_Asia
HGDP01213	Est_Asia
HGDP01214	Est_Asia
HGDP01215	Est_Asia
HGDP01216	Est_Asia
HGDP01217	Est_Asia
HGDP01218	Est_Asia
HGDP01219	Est_Asia
HGDP01220	Est_Asia
HGDP01221	Est_Asia
HGDP01222	Est_Asia
HGDP00774	Est_Asia
HGDP00775	Est_Asia
HGDP00776	Est_Asia
HGDP00777	Est_Asia
HGDP00778	Est_Asia
HGDP00779	Est_Asia
HGDP00780	Est_Asia
HGDP00781	Est_Asia
HGDP00782	Est_Asia
HGDP00783	Est_Asia
HGDP00784	Est_Asia
HGDP00785	Est_Asia
HGDP00786	Est_Asia
HGDP00811	Est_Asia
HGDP00812	Est_Asia
HGDP00813	Est_Asia
HGDP00814	Est_Asia
HGDP00815	Est_Asia
HGDP00817	Est_Asia
HGDP00818	Est_Asia
HGDP00819	Est_Asia
HGDP00820	Est_Asia
HGDP00821	Est_Asia
HGDP00822	Est_Asia
HGDP00971	Est_Asia
HGDP00972	Est_Asia
HGDP00973	Est_Asia
HGDP00974	Est_Asia
HGDP00975	Est_Asia
HGDP00976	Est_Asia
HGDP00977	Est_Asia
HGDP01021	Est_Asia
HGDP01022	Est_Asia
HGDP01023	Est_Asia
HGDP01024	Est_Asia
HGDP01287	Est_Asia
HGDP01288	Est_Asia
HGDP01289	Est_Asia
HGDP01290	Est_Asia
HGDP01291	Est_Asia
HGDP01292	Est_Asia
HGDP01293	Est_Asia
HGDP01294	Est_Asia
HGDP01295	Est_Asia
HGDP01296	Est_Asia
HGDP01233	Est_Asia
HGDP01234	Est_Asia
HGDP01235	Est_Asia
HGDP01236	Est_Asia
HGDP01237	Est_Asia
HGDP01238	Est_Asia
HGDP01239	Est_Asia
HGDP01240	Est_Asia
HGDP01241	Est_Asia
HGDP01242	Est_Asia
HGDP00747	Est_Asia
HGDP00748	Est_Asia
HGDP00749	Est_Asia
HGDP00750	Est_Asia
HGDP00751	Est_Asia
HGDP00752	Est_Asia
HGDP00753	Est_Asia
HGDP00754	Est_Asia
HGDP00755	Est_Asia
HGDP00756	Est_Asia
HGDP00757	Est_Asia
HGDP00758	Est_Asia
HGDP00759	Est_Asia
HGDP00760	Est_Asia
HGDP00761	Est_Asia
HGDP00762	Est_Asia
HGDP00763	Est_Asia
HGDP00764	Est_Asia
HGDP00765	Est_Asia
HGDP00766	Est_Asia
HGDP00767	Est_Asia
HGDP00768	Est_Asia
HGDP00769	Est_Asia
HGDP00770	Est_Asia
HGDP00771	Est_Asia
HGDP00772	Est_Asia
HGDP00773	Est_Asia
HGDP00790	Est_Asia
HGDP00791	Est_Asia
HGDP00828	Est_Asia
HGDP01025	Est_Asia
HGDP01317	Est_Asia
HGDP01318	Est_Asia
HGDP01319	Est_Asia
HGDP01320	Est_Asia
HGDP01321	Est_Asia
HGDP01322	Est_Asia
HGDP01323	Est_Asia
HGDP01324	Est_Asia
HGDP01325	Est_Asia
HGDP01326	Est_Asia
HGDP01189	Est_Asia
HGDP01190	Est_Asia
HGDP01191	Est_Asia
HGDP01192	Est_Asia
HGDP01193	Est_Asia
HGDP01194	Est_Asia
HGDP01195	Est_Asia
HGDP01196	Est_Asia
HGDP01197	Est_Asia
HGDP01198	Est_Asia
HGDP01223	Est_Asia
HGDP01224	Est_Asia
HGDP01225	Est_Asia
HGDP01226	Est_Asia
HGDP01227	Est_Asia
HGDP01228	Est_Asia
HGDP01229	Est_Asia
HGDP01230	Est_Asia
HGDP01231	Est_Asia
HGDP01232	Est_Asia
HGDP01337	Est_Asia
HGDP01338	Est_Asia
HGDP01339	Est_Asia
HGDP01340	Est_Asia
HGDP01341	Est_Asia
HGDP01342	Est_Asia
HGDP01343	Est_Asia
HGDP01344	Est_Asia
HGDP01345	Est_Asia
HGDP01346	Est_Asia
HGDP01203	Est_Asia
HGDP01204	Est_Asia
HGDP01205	Est_Asia
HGDP01206	Est_Asia
HGDP01207	Est_Asia
HGDP01208	Est_Asia
HGDP01209	Est_Asia
HGDP01210	Est_Asia
HGDP01211	Est_Asia
HGDP01212	Est_Asia
HGDP01327	Est_Asia
HGDP01328	Est_Asia
HGDP01329	Est_Asia
HGDP01330	Est_Asia
HGDP01331	Est_Asia
HGDP01332	Est_Asia
HGDP01333	Est_Asia
HGDP01334	Est_Asia
HGDP01335	Est_Asia
HGDP01336	Est_Asia
HGDP01347	Est_Asia
HGDP01348	Est_Asia
HGDP01349	Est_Asia
HGDP01350	Est_Asia
HGDP01351	Est_Asia
HGDP01352	Est_Asia
HGDP01353	Est_Asia
HGDP01354	Est_Asia
HGDP01355	Est_Asia
HGDP01356	Est_Asia
HGDP01095	Est_Asia
HGDP01096	Est_Asia
HGDP01097	Est_Asia
HGDP01098	Est_Asia
HGDP01099	Est_Asia
HGDP01100	Est_Asia
HGDP01101	Est_Asia
HGDP01102	Est_Asia
HGDP01103	Est_Asia
HGDP01104	Est_Asia
HGDP01243	Est_Asia
HGDP01244	Est_Asia
HGDP01245	Est_Asia
HGDP01246	Est_Asia
HGDP01247	Est_Asia
HGDP01248	Est_Asia
HGDP01249	Est_Asia
HGDP01250	Est_Asia
HGDP01251	Est_Asia
HGDP00945	Est_Asia
HGDP00946	Est_Asia
HGDP00947	Est_Asia
HGDP00948	Est_Asia
HGDP00949	Est_Asia
HGDP00950	Est_Asia
HGDP00951	Est_Asia
HGDP00952	Est_Asia
HGDP00953	Est_Asia
HGDP00954	Est_Asia
HGDP00955	Est_Asia
HGDP00956	Est_Asia
HGDP00957	Est_Asia
HGDP00958	Est_Asia
HGDP00959	Est_Asia
HGDP00960	Est_Asia
HGDP00961	Est_Asia
HGDP00962	Est_Asia
HGDP00963	Est_Asia
HGDP00964	Est_Asia
HGDP00965	Est_Asia
HGDP00966	Est_Asia
HGDP00967	Est_Asia
HGDP00968	Est_Asia
HGDP00969	Est_Asia
HGDP01179	Est_Asia
HGDP01180	Est_Asia
HGDP01181	Est_Asia
HGDP01182	Est_Asia
HGDP01183	Est_Asia
HGDP01184	Est_Asia
HGDP01185	Est_Asia
HGDP01186	Est_Asia
HGDP01187	Est_Asia
HGDP01188	Est_Asia
HGDP01381	Europe
HGDP01382	Europe
HGDP01383	Europe
HGDP01384	Europe
HGDP01385	Europe
HGDP01386	Europe
HGDP01387	Europe
HGDP01388	Europe
HGDP01396	Europe
HGDP01397	Europe
HGDP01398	Europe
HGDP01399	Europe
HGDP01400	Europe
HGDP01401	Europe
HGDP01402	Europe
HGDP01403	Europe
HGDP01404	Europe
HGDP00511	Europe
HGDP00512	Europe
HGDP00513	Europe
HGDP00514	Europe
HGDP00515	Europe
HGDP00516	Europe
HGDP00517	Europe
HGDP00518	Europe
HGDP00519	Europe
HGDP00520	Europe
HGDP00521	Europe
HGDP00522	Europe
HGDP00523	Europe
HGDP00524	Europe
HGDP00525	Europe
HGDP00526	Europe
HGDP00527	Europe
HGDP00528	Europe
HGDP00529	Europe
HGDP00530	Europe
HGDP00531	Europe
HGDP00532	Europe
HGDP00533	Europe
HGDP00534	Europe
HGDP00535	Europe
HGDP00536	Europe
HGDP00537	Europe
HGDP00538	Europe
HGDP00539	Europe
HGDP01357	Europe
HGDP01358	Europe
HGDP01359	Europe
HGDP01360	Europe
HGDP01361	Europe
HGDP01362	Europe
HGDP01363	Europe
HGDP01364	Europe
HGDP01365	Europe
HGDP01366	Europe
HGDP01367	Europe
HGDP01368	Europe
HGDP01369	Europe
HGDP01370	Europe
HGDP01371	Europe
HGDP01372	Europe
HGDP01373	Europe
HGDP01374	Europe
HGDP01375	Europe
HGDP01376	Europe
HGDP01377	Europe
HGDP01378	Europe
HGDP01379	Europe
HGDP01380	Europe
HGDP01147	Europe
HGDP01149	Europe
HGDP01151	Europe
HGDP01152	Europe
HGDP01153	Europe
HGDP01154	Europe
HGDP01155	Europe
HGDP01156	Europe
HGDP01157	Europe
HGDP01171	Europe
HGDP01172	Europe
HGDP01173	Europe
HGDP01174	Europe
HGDP01177	Europe
HGDP00794	Europe
HGDP00795	Europe
HGDP00796	Europe
HGDP00797	Europe
HGDP00798	Europe
HGDP00799	Europe
HGDP00800	Europe
HGDP00801	Europe
HGDP00802	Europe
HGDP00803	Europe
HGDP00804	Europe
HGDP00805	Europe
HGDP00806	Europe
HGDP00807	Europe
HGDP00808	Europe
HGDP00810	Europe
HGDP00879	Europe
HGDP00880	Europe
HGDP00881	Europe
HGDP00882	Europe
HGDP00883	Europe
HGDP00884	Europe
HGDP00885	Europe
HGDP00886	Europe
HGDP00887	Europe
HGDP00888	Europe
HGDP00889	Europe
HGDP00890	Europe
HGDP00891	Europe
HGDP00892	Europe
HGDP00893	Europe
HGDP00894	Europe
HGDP00895	Europe
HGDP00896	Europe
HGDP00897	Europe
HGDP00898	Europe
HGDP00899	Europe
HGDP00900	Europe
HGDP00901	Europe
HGDP00902	Europe
HGDP00903	Europe
HGDP00665	Europe
HGDP00666	Europe
HGDP00667	Europe
HGDP00668	Europe
HGDP00669	Europe
HGDP00670	Europe
HGDP00671	Europe
HGDP00672	Europe
HGDP00673	Europe
HGDP00674	Europe
HGDP01062	Europe
HGDP01063	Europe
HGDP01064	Europe
HGDP01065	Europe
HGDP01066	Europe
HGDP01067	Europe
HGDP01068	Europe
HGDP01069	Europe
HGDP01070	Europe
HGDP01071	Europe
HGDP01072	Europe
HGDP01073	Europe
HGDP01074	Europe
HGDP01075	Europe
HGDP01076	Europe
HGDP01077	Europe
HGDP01078	Europe
HGDP01079	Europe
HGDP01161	Europe
HGDP01162	Europe
HGDP01163	Europe
HGDP01164	Europe
HGDP01166	Europe
HGDP01167	Europe
HGDP01168	Europe
HGDP01169	Europe
HGDP00607	Middle_Est
HGDP00608	Middle_Est
HGDP00609	Middle_Est
HGDP00610	Middle_Est
HGDP00611	Middle_Est
HGDP00612	Middle_Est
HGDP00613	Middle_Est
HGDP00614	Middle_Est
HGDP00615	Middle_Est
HGDP00616	Middle_Est
HGDP00617	Middle_Est
HGDP00618	Middle_Est
HGDP00619	Middle_Est
HGDP00620	Middle_Est
HGDP00621	Middle_Est
HGDP00622	Middle_Est
HGDP00623	Middle_Est
HGDP00624	Middle_Est
HGDP00625	Middle_Est
HGDP00626	Middle_Est
HGDP00627	Middle_Est
HGDP00628	Middle_Est
HGDP00629	Middle_Est
HGDP00630	Middle_Est
HGDP00631	Middle_Est
HGDP00632	Middle_Est
HGDP00633	Middle_Est
HGDP00634	Middle_Est
HGDP00635	Middle_Est
HGDP00636	Middle_Est
HGDP00637	Middle_Est
HGDP00638	Middle_Est
HGDP00639	Middle_Est
HGDP00640	Middle_Est
HGDP00641	Middle_Est
HGDP00642	Middle_Est
HGDP00643	Middle_Est
HGDP00644	Middle_Est
HGDP00645	Middle_Est
HGDP00646	Middle_Est
HGDP00647	Middle_Est
HGDP00648	Middle_Est
HGDP00649	Middle_Est
HGDP00650	Middle_Est
HGDP00651	Middle_Est
HGDP00652	Middle_Est
HGDP00653	Middle_Est
HGDP00654	Middle_Est
HGDP00701	Middle_Est
HGDP00557	Middle_Est
HGDP00558	Middle_Est
HGDP00559	Middle_Est
HGDP00560	Middle_Est
HGDP00561	Middle_Est
HGDP00562	Middle_Est
HGDP00563	Middle_Est
HGDP00564	Middle_Est
HGDP00565	Middle_Est
HGDP00566	Middle_Est
HGDP00567	Middle_Est
HGDP00568	Middle_Est
HGDP00569	Middle_Est
HGDP00570	Middle_Est
HGDP00571	Middle_Est
HGDP00572	Middle_Est
HGDP00573	Middle_Est
HGDP00574	Middle_Est
HGDP00575	Middle_Est
HGDP00576	Middle_Est
HGDP00577	Middle_Est
HGDP00578	Middle_Est
HGDP00579	Middle_Est
HGDP00580	Middle_Est
HGDP00581	Middle_Est
HGDP00582	Middle_Est
HGDP00583	Middle_Est
HGDP00584	Middle_Est
HGDP00585	Middle_Est
HGDP00586	Middle_Est
HGDP00587	Middle_Est
HGDP00588	Middle_Est
HGDP00589	Middle_Est
HGDP00590	Middle_Est
HGDP00591	Middle_Est
HGDP00592	Middle_Est
HGDP00594	Middle_Est
HGDP00595	Middle_Est
HGDP00597	Middle_Est
HGDP00598	Middle_Est
HGDP00599	Middle_Est
HGDP00600	Middle_Est
HGDP00601	Middle_Est
HGDP00602	Middle_Est
HGDP00603	Middle_Est
HGDP00604	Middle_Est
HGDP00605	Middle_Est
HGDP00606	Middle_Est
HGDP01253	Middle_Est
HGDP01254	Middle_Est
HGDP01255	Middle_Est
HGDP01256	Middle_Est
HGDP01257	Middle_Est
HGDP01258	Middle_Est
HGDP01259	Middle_Est
HGDP01260	Middle_Est
HGDP01261	Middle_Est
HGDP01262	Middle_Est
HGDP01263	Middle_Est
HGDP01264	Middle_Est
HGDP01265	Middle_Est
HGDP01266	Middle_Est
HGDP01267	Middle_Est
HGDP01268	Middle_Est
HGDP01269	Middle_Est
HGDP01270	Middle_Est
HGDP01271	Middle_Est
HGDP01272	Middle_Est
HGDP01273	Middle_Est
HGDP01274	Middle_Est
HGDP01275	Middle_Est
HGDP01276	Middle_Est
HGDP01277	Middle_Est
HGDP01278	Middle_Est
HGDP01279	Middle_Est
HGDP01280	Middle_Est
HGDP01281	Middle_Est
HGDP01282	Middle_Est
HGDP00675	Middle_Est
HGDP00676	Middle_Est
HGDP00677	Middle_Est
HGDP00678	Middle_Est
HGDP00679	Middle_Est
HGDP00680	Middle_Est
HGDP00681	Middle_Est
HGDP00682	Middle_Est
HGDP00683	Middle_Est
HGDP00684	Middle_Est
HGDP00685	Middle_Est
HGDP00686	Middle_Est
HGDP00687	Middle_Est
HGDP00688	Middle_Est
HGDP00689	Middle_Est
HGDP00690	Middle_Est
HGDP00691	Middle_Est
HGDP00692	Middle_Est
HGDP00693	Middle_Est
HGDP00694	Middle_Est
HGDP00695	Middle_Est
HGDP00696	Middle_Est
HGDP00697	Middle_Est
HGDP00698	Middle_Est
HGDP00699	Middle_Est
HGDP00700	Middle_Est
HGDP00722	Middle_Est
HGDP00723	Middle_Est
HGDP00724	Middle_Est
HGDP00725	Middle_Est
HGDP00726	Middle_Est
HGDP00727	Middle_Est
HGDP00728	Middle_Est
HGDP00729	Middle_Est
HGDP00730	Middle_Est
HGDP00731	Middle_Est
HGDP00732	Middle_Est
HGDP00733	Middle_Est
HGDP00734	Middle_Est
HGDP00735	Middle_Est
HGDP00736	Middle_Est
HGDP00737	Middle_Est
HGDP00738	Middle_Est
HGDP00739	Middle_Est
HGDP00740	Middle_Est
HGDP00741	Middle_Est
HGDP00742	Middle_Est
HGDP00743	Middle_Est
HGDP00744	Middle_Est
HGDP00745	Middle_Est
HGDP00746	Middle_Est
HGDP00490	Oceania
HGDP00491	Oceania
HGDP00655	Oceania
HGDP00656	Oceania
HGDP00657	Oceania
HGDP00658	Oceania
HGDP00659	Oceania
HGDP00660	Oceania
HGDP00661	Oceania
HGDP00662	Oceania
HGDP00663	Oceania
HGDP00664	Oceania
HGDP00787	Oceania
HGDP00788	Oceania
HGDP00789	Oceania
HGDP00823	Oceania
HGDP00824	Oceania
HGDP00825	Oceania
HGDP00826	Oceania
HGDP00978	Oceania
HGDP00979	Oceania
HGDP01027	Oceania
HGDP00540	Oceania
HGDP00541	Oceania
HGDP00542	Oceania
HGDP00543	Oceania
HGDP00544	Oceania
HGDP00545	Oceania
HGDP00546	Oceania
HGDP00547	Oceania
HGDP00548	Oceania
HGDP00549	Oceania
HGDP00550	Oceania
HGDP00551	Oceania
HGDP00552	Oceania
HGDP00553	Oceania
HGDP00554	Oceania
HGDP00555	Oceania
HGDP00556	Oceania
